oid,ra,dec,label_tns,tns_type_raw,label_simbad,simbad_otype,label_milliquas,milliquas_type,label_vsx,vsx_type,classALeRCE,label_source,label_conflict,all_labels,transient_vsx_flag,oid_combined
ZTF22abtbonm,149.9416662318112,2.7954812399441775,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170019717267849383_ZTF22abtbonm
ZTF26aagmisy,151.74033408031963,1.9270672835122389,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170019717277810735_ZTF26aagmisy
ZTF22aaialik,148.43832050482936,1.7143923139662531,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500536788001_ZTF22aaialik
ZTF25aadzjcs,148.62673323999894,2.25729764,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500537835652_ZTF25aadzjcs
ZTF19aaaelfl,148.96071203629958,3.0288322096935008,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028500546224179_ZTF19aaaelfl
ZTF20acpzesv,149.09015927555322,2.816677088769538,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500558282784_ZTF20acpzesv
ZTF21aakpmqz,149.20802781998862,3.2306690799999997,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500562477066_ZTF21aakpmqz
ZTF20acxzjqy,149.66862303572597,3.583857216428128,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500568244264_ZTF20acxzjqy
ZTF22aahhcrt,149.811137705946,3.5502451764421723,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500568244363_ZTF22aahhcrt
ZTF20acxzimc,149.8565131646061,1.259117453672564,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500579254400_ZTF20acxzimc
ZTF25aadrqen,149.5866290873452,2.0370933740118353,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500580827290_ZTF25aadrqen
