oid,classALeRCE
sim_Periodic-Other_00596,Periodic-Other
sim_RRL_00284,RRL
sim_CV_Nova_00279,CV_Nova
sim_CEP_00761,CEP
sim_RRL_00638,RRL
sim_LPV_00156,LPV
sim_SNIbc_00736,SNIbc
sim_AGN_00210,AGN
sim_QSO_00906,QSO
sim_YSO_00119,YSO
sim_CV_Nova_00856,CV_Nova
sim_Periodic-Other_00220,Periodic-Other
sim_Periodic-Other_00059,Periodic-Other
sim_E_00897,E
sim_AGN_00354,AGN
sim_YSO_00603,YSO
sim_RRL_00388,RRL
sim_SNIbc_00431,SNIbc
sim_AGN_00143,AGN
sim_Periodic-Other_00925,Periodic-Other
sim_AGN_00811,AGN
sim_Periodic-Other_00705,Periodic-Other
sim_Blazar_00307,Blazar
sim_Blazar_00089,Blazar
sim_E_00161,E
sim_RRL_00217,RRL
sim_RRL_00566,RRL
sim_CEP_00114,CEP
sim_QSO_00026,QSO
sim_Periodic-Other_00152,Periodic-Other
sim_CEP_00423,CEP
sim_CEP_00339,CEP
sim_SLSN_00452,SLSN
sim_SLSN_00634,SLSN
sim_CEP_00412,CEP
sim_YSO_00374,YSO
sim_LPV_00402,LPV
sim_LPV_00431,LPV
sim_CV_Nova_00697,CV_Nova
sim_CV_Nova_00864,CV_Nova
sim_RRL_00936,RRL
sim_DSCT_00284,DSCT
sim_LPV_00278,LPV
sim_QSO_00364,QSO
sim_CV_Nova_00141,CV_Nova
sim_LPV_00209,LPV
sim_SLSN_00562,SLSN
sim_RRL_00252,RRL
sim_Periodic-Other_00243,Periodic-Other
sim_SLSN_00501,SLSN
sim_CV_Nova_00380,CV_Nova
sim_AGN_00006,AGN
sim_AGN_00396,AGN
sim_SNIa_00945,SNIa
sim_LPV_00455,LPV
sim_LPV_00696,LPV
sim_CEP_00314,CEP
sim_RRL_00229,RRL
sim_CEP_00289,CEP
sim_SNIbc_00293,SNIbc
sim_SNIbc_00962,SNIbc
sim_SNII_00866,SNII
sim_CEP_00570,CEP
sim_LPV_00194,LPV
sim_DSCT_00971,DSCT
sim_AGN_00624,AGN
sim_SNIa_00549,SNIa
sim_Blazar_00690,Blazar
sim_Blazar_00883,Blazar
sim_CEP_00888,CEP
sim_Blazar_00058,Blazar
sim_DSCT_00809,DSCT
sim_SNIbc_00391,SNIbc
sim_Periodic-Other_00679,Periodic-Other
sim_SNII_00040,SNII
sim_DSCT_00642,DSCT
sim_Periodic-Other_00704,Periodic-Other
sim_LPV_00887,LPV
sim_YSO_00403,YSO
sim_E_00170,E
sim_CEP_00186,CEP
sim_DSCT_00113,DSCT
sim_DSCT_00558,DSCT
sim_CEP_00916,CEP
sim_E_00589,E
sim_RRL_00882,RRL
sim_E_00524,E
sim_CEP_00364,CEP
sim_RRL_00244,RRL
sim_SNIa_00304,SNIa
sim_QSO_00311,QSO
sim_SNIbc_00948,SNIbc
sim_LPV_00841,LPV
sim_QSO_00850,QSO
sim_RRL_00968,RRL
sim_RRL_00231,RRL
sim_SNIa_00284,SNIa
sim_YSO_00226,YSO
sim_YSO_00944,YSO
sim_SNII_00183,SNII
sim_DSCT_00530,DSCT
sim_Blazar_00286,Blazar
sim_LPV_00984,LPV
sim_SNII_00252,SNII
sim_E_00351,E
sim_Blazar_00366,Blazar
sim_QSO_00487,QSO
sim_YSO_00399,YSO
sim_E_00466,E
sim_RRL_00141,RRL
sim_CV_Nova_00082,CV_Nova
sim_Periodic-Other_00609,Periodic-Other
sim_DSCT_00989,DSCT
sim_YSO_00313,YSO
sim_E_00070,E
sim_Periodic-Other_00416,Periodic-Other
sim_QSO_00225,QSO
sim_SNII_00715,SNII
sim_Periodic-Other_00840,Periodic-Other
sim_LPV_00327,LPV
sim_AGN_00507,AGN
sim_QSO_00258,QSO
sim_YSO_00680,YSO
sim_Blazar_00832,Blazar
sim_Blazar_00142,Blazar
sim_E_00926,E
sim_SLSN_00483,SLSN
sim_SLSN_00392,SLSN
sim_E_00806,E
sim_CEP_00248,CEP
sim_RRL_00006,RRL
sim_AGN_00763,AGN
sim_CV_Nova_00603,CV_Nova
sim_YSO_00779,YSO
sim_AGN_00681,AGN
sim_Blazar_00972,Blazar
sim_E_00045,E
sim_YSO_00256,YSO
sim_SNIa_00673,SNIa
sim_DSCT_00458,DSCT
sim_Blazar_00500,Blazar
sim_E_00725,E
sim_LPV_00183,LPV
sim_Blazar_00055,Blazar
sim_Periodic-Other_00735,Periodic-Other
sim_LPV_00117,LPV
sim_CV_Nova_00524,CV_Nova
sim_AGN_00208,AGN
sim_E_00489,E
sim_SLSN_00227,SLSN
sim_LPV_00399,LPV
sim_DSCT_00023,DSCT
sim_E_00076,E
sim_CV_Nova_00330,CV_Nova
sim_SNIbc_00718,SNIbc
sim_Blazar_00967,Blazar
sim_Periodic-Other_00850,Periodic-Other
sim_E_00352,E
sim_CV_Nova_00955,CV_Nova
sim_CEP_00700,CEP
sim_Blazar_00984,Blazar
sim_DSCT_00574,DSCT
sim_Blazar_00824,Blazar
sim_YSO_00185,YSO
sim_AGN_00176,AGN
sim_QSO_00883,QSO
sim_LPV_00852,LPV
sim_AGN_00116,AGN
sim_DSCT_00348,DSCT
sim_QSO_00384,QSO
sim_SLSN_00872,SLSN
sim_SNIa_00416,SNIa
sim_DSCT_00137,DSCT
sim_CV_Nova_00492,CV_Nova
sim_AGN_00975,AGN
sim_CV_Nova_00219,CV_Nova
sim_DSCT_00464,DSCT
sim_YSO_00847,YSO
sim_SLSN_00723,SLSN
sim_E_00213,E
sim_RRL_00570,RRL
sim_SLSN_00602,SLSN
sim_RRL_00636,RRL
sim_Periodic-Other_00253,Periodic-Other
sim_SNIbc_00267,SNIbc
sim_YSO_00955,YSO
sim_YSO_00233,YSO
sim_YSO_00996,YSO
sim_CV_Nova_00481,CV_Nova
sim_SNIbc_00339,SNIbc
sim_SNIbc_00507,SNIbc
sim_DSCT_00070,DSCT
sim_CV_Nova_00858,CV_Nova
sim_LPV_00896,LPV
sim_SLSN_00857,SLSN
sim_CV_Nova_00042,CV_Nova
sim_E_00267,E
sim_SLSN_00309,SLSN
sim_Periodic-Other_00696,Periodic-Other
sim_Blazar_00576,Blazar
sim_Periodic-Other_00936,Periodic-Other
sim_Periodic-Other_00961,Periodic-Other
sim_SNIa_00758,SNIa
sim_RRL_00355,RRL
sim_CV_Nova_00372,CV_Nova
sim_LPV_00338,LPV
sim_RRL_00338,RRL
sim_DSCT_00765,DSCT
sim_RRL_00962,RRL
sim_AGN_00021,AGN
sim_AGN_00241,AGN
sim_Periodic-Other_00455,Periodic-Other
sim_RRL_00038,RRL
sim_YSO_00784,YSO
sim_LPV_00011,LPV
sim_SNII_00778,SNII
sim_Periodic-Other_00391,Periodic-Other
sim_RRL_00084,RRL
sim_QSO_00895,QSO
sim_AGN_00337,AGN
sim_Blazar_00278,Blazar
sim_SLSN_00933,SLSN
sim_AGN_00894,AGN
sim_SNIbc_00740,SNIbc
sim_SNIbc_00739,SNIbc
sim_YSO_00570,YSO
sim_SLSN_00206,SLSN
sim_YSO_00767,YSO
sim_E_00333,E
sim_SNII_00334,SNII
sim_AGN_00266,AGN
sim_Periodic-Other_00176,Periodic-Other
sim_SLSN_00866,SLSN
sim_CEP_00905,CEP
sim_SNIa_00128,SNIa
sim_SNII_00965,SNII
sim_CEP_00814,CEP
sim_LPV_00168,LPV
sim_Blazar_00730,Blazar
sim_CV_Nova_00549,CV_Nova
sim_QSO_00350,QSO
sim_AGN_00553,AGN
sim_SLSN_00858,SLSN
sim_RRL_00363,RRL
sim_SLSN_00121,SLSN
sim_YSO_00805,YSO
sim_AGN_00785,AGN
sim_Blazar_00352,Blazar
sim_SNIbc_00384,SNIbc
sim_SLSN_00065,SLSN
sim_SNIbc_00654,SNIbc
sim_Blazar_00266,Blazar
sim_Blazar_00131,Blazar
sim_Blazar_00817,Blazar
sim_RRL_00997,RRL
sim_CV_Nova_00525,CV_Nova
sim_QSO_00893,QSO
sim_SNIa_00534,SNIa
sim_E_00569,E
sim_AGN_00450,AGN
sim_Periodic-Other_00491,Periodic-Other
sim_SNIa_00380,SNIa
sim_SLSN_00978,SLSN
sim_Periodic-Other_00693,Periodic-Other
sim_LPV_00931,LPV
sim_CEP_00362,CEP
sim_RRL_00597,RRL
sim_Blazar_00638,Blazar
sim_RRL_00119,RRL
sim_SLSN_00782,SLSN
